id,type,title,question,answer-choice,answer,note
1.1SC,Multiple-Choice,Self-Check 1.1: binaryNumbers,"Why do computers use binary numbers?
","[""At the time when computers were invented, humans only knew about the numbers 0 and 1."", ""It is impossible to build a computer that uses a different number base than binary."", ""Because there are 10 types of people: Those who understand binary, and those who don\'t."", ""It is easier to build electronic devices reliably if they only have to distinguish between two electric states."", ""It makes the computer faster and more efficient than other number bases.""]","[""It is easier to build electronic devices reliably if they only have to distinguish between two electric states.""]",
1.2SC,Fill-In-The-Blanks,Self-Check 1.2: binary1,Convert each of the following decimal numbers into its equivalent binary number:,"[""6"", ""44"", ""72"", ""131""]","[""110"", ""101100"", ""1001000"", ""10000011""]",
1.3SC,Fill-In-The-Blanks,Self-Check 1.3: binary2,What is the decimal equivalent of each of the following binary numbers?,"[""100"", ""1011"", ""101010"", ""1001110""]","[""4"", ""11"", ""42"", ""78""]",
","[""At the time when computers were invented, humans only knew about the numbers 0 and 1."", ""It is impossible to build a computer that uses a different number base than binary."", ""Because there are 10 types of people: Those who understand binary, and those who don\'t."", ""It is easier to build electronic devices reliably if they only have to distinguish between two electric states."", ""It makes the computer faster and more efficient than other number bases.""]","[""It is easier to build electronic devices reliably if they only have to distinguish between two electric states.""]",
1.2SC,Fill-In-The-Blanks,Self-Check 1.2: binary1,Convert each of the following decimal numbers into its equivalent binary number:,"[""6"", ""44"", ""72"", ""131""]","[""110"", ""101100"", ""1001000"", ""10000011""]",
1.3SC,Fill-In-The-Blanks,Self-Check 1.3: binary2,What is the decimal equivalent of each of the following binary numbers?,"[""100"", ""1011"", ""101010"", ""1001110""]","[""4"", ""11"", ""42"", ""78""]",
1.4SC,Free-Response,Self-Check 1.4: cookieRecipe,"In your own words, describe an algorithm for baking cookies. Assume that you have a large number of hungry friends, so you'll want to produce several batches of cookies!

(Since there are so many correct answers, Practice-It will accept any solution of sufficient length.)",,,
1.5SC,Multiple-Choice,Self-Check 1.5: javaVsClass,What is the difference between the file MyProgram.java and the file MyProgram.class?,"[""MyProgram.java is a source code file typed by the programmer, and MyProgram.class is a compiledExecutable class file that is run by the computer."", ""The .class file is for object-oriented programming and the .java file is for procedural programming."", ""A .java file is a much larger binary file and a .class file is a smaller compressed version."", ""The programmer writes the .class file first, and the .java file is generated automatically later."", ""A .java file contains code written in the Java language, and a .class file contains code written in the C++ language.""]","[""MyProgram.java is a source code file typed by the programmer, and MyProgram.class is a compiledExecutable class file that is run by the computer.""]",
1.6SC,Multi-Select,Self-Check 1.6: legalIdentifiers,Which of the following can be used in a Java program as identifiers? Check all of the identifiers that are legal.,"[""_average"", ""first-name"", ""B4"", ""println"", ""sum_of_data"", ""ABC"", ""42isThesolution"", ""for"", ""AnnualSalary"", ""\""hello\""""]","[""_average"", ""B4"", ""println"", ""sum_of_data"", ""ABC"", ""AnnualSalary""]","We often receive emails from users claiming that this problem is wrong, or has a bug, or does not accept the correct solution. No; it does not. If your answer is being marked as incorrect, it is because your answer is incorrect."
1.5SC,Multiple-Choice,Self-Check 1.5: javaVsClass,What is the difference between the file MyProgram.java and the file MyProgram.class?,"[""MyProgram.java is a source code file typed by the programmer, and MyProgram.class is a compiledExecutable class file that is run by the computer."", ""The .class file is for object-oriented programming and the .java file is for procedural programming."", ""A .java file is a much larger binary file and a .class file is a smaller compressed version."", ""The programmer writes the .class file first, and the .java file is generated automatically later."", ""A .java file contains code written in the Java language, and a .class file contains code written in the C++ language.""]","[""MyProgram.java is a source code file typed by the programmer, and MyProgram.class is a compiledExecutable class file that is run by the computer.""]",
